x,y,w,h,Distance Bottom,Distance Top,area,Target Class
85,0,97,46,22.0,22.0,1041.0,LD
0,0,41,70,35.0,35.0,1462.5,LD
0,2,35,66,34.0,32.0,1117.5,LD
51,0,33,51,17.0,17.0,867.5,LD
0,15,31,55,35.0,20.0,476.0,LD
47,0,26,53,18.0,18.0,459.0,LD
45,3,35,61,32.0,29.0,847.0,LD
0,0,43,57,25.0,25.0,582.0,LD
0,0,88,66,33.0,33.0,1754.5,LD
0,8,93,58,33.0,25.0,1487.0,LD
98,0,39,63,30.0,30.0,884.5,LD
4,53,101,9,31.0,22.0,475.0,LD
0,20,26,9,2.0,22.0,118.5,LD
46,0,37,52,21.0,21.0,1013.5,LD
0,42,32,8,18.0,24.0,91.5,LD
36,8,61,56,32.0,24.0,1072.5,LD
101,0,55,63,31.0,31.0,2313.0,LD
12,13,63,53,23.0,10.0,790.5,LD
0,0,143,86,43.0,43.0,1183.0,LD
13,96,76,5,51.0,45.0,132.0,LD
0,88,31,6,44.0,44.0,40.0,LD
0,17,24,51,18.0,1.0,367.5,LD
72,0,74,93,43.0,43.0,1644.5,LD
145,37,31,8,21.0,16.0,57.5,LD
144,21,30,8,5.0,16.0,55.5,LD
97,5,28,42,23.0,18.0,169.0,LD
0,3,28,45,24.0,21.0,246.5,LD
53,0,27,42,18.0,18.0,202.0,LD
19,82,8,58,70.0,12.0,269.0,LD
0,0,58,79,9.0,9.0,694.0,LD
0,0,61,71,36.0,36.0,532.5,LD
0,0,48,103,52.0,52.0,1742.0,LD
0,18,48,60,39.0,21.0,906.5,LD
72,0,31,60,21.0,21.0,840.0,LD
0,0,47,71,36.0,36.0,890.5,LD
0,6,47,56,21.0,15.0,1093.5,LD
71,2,35,54,15.0,13.0,565.0,LD
111,0,71,82,41.0,41.0,2067.5,LD
136,86,29,9,48.0,38.0,100.5,LD
58,82,16,13,48.0,34.0,81.0,LD
182,80,20,11,44.0,36.0,40.5,LD
114,54,10,5,12.0,42.0,23.5,LD
55,25,38,48,26.0,1.0,317.0,LD
0,11,33,84,48.0,37.0,839.5,LD
128,6,31,51,10.0,4.0,658.5,LD
174,0,26,57,10.0,10.0,646.0,LD
157,31,23,7,13.0,18.0,52.0,LD
151,16,31,5,4.0,20.0,62.5,LD
49,8,41,43,26.0,18.0,326.5,LD
98,7,50,35,17.0,10.0,418.5,LD
0,0,39,50,25.0,25.0,755.5,LD
70,4,35,52,21.0,17.0,220.0,LD
0,0,52,70,35.0,35.0,362.0,LD
0,20,24,35,28.0,8.0,203.5,LD
35,0,48,46,19.0,19.0,439.5,LD
0,0,50,50,25.0,25.0,986.5,LD
88,33,51,12,4.0,29.0,326.5,LD
0,0,57,82,41.0,41.0,1278.5,LD
