x,y,w,h,distance,class
13,0,27,27,0,neurotypical
,,,,,
0,0,69,25,1,neurotypical
0,0,14,33,0,neurotypical
,,,,,
,,,,,
,,,,,
55,0,25,33,5,neurotypical
60,0,25,27,27,neurotypical
,,,,,
75,0,5,8,22,neurotypical
0,0,85,40,1,neurotypical
53,0,13,35,0,neurotypical
0,0,18,39,1,neurotypical
,,,,,
96,0,33,39,89,neurotypical
97,0,42,52,4,neurotypical
44,0,35,57,0,neurotypical
0,0,11,48,9,neurotypical
0,0,45,48,5,neurotypical
67,0,54,57,0,neurotypical
0,0,45,45,5,neurotypical
0,0,37,52,18,neurotypical
44,0,146,67,0,neurotypical
,,,,,
,,,,,
0,0,44,58,0,neurotypical
36,0,36,38,0,neurotypical
0,0,43,47,0,neurotypical
34,0,45,46,3,neurotypical
,,,,,
0,0,29,43,0,neurotypical
0,0,44,46,9,neurotypical
0,0,34,44,7,neurotypical
0,0,41,50,0,neurotypical
0,0,41,59,0,neurotypical
,,,,,
0,0,47,53,0,neurotypical
41,0,99,55,8,neurotypical
,,,,,
32,0,43,49,0,neurotypical
0,1,37,50,1,neurotypical
0,0,46,51,0,neurotypical
0,0,39,49,0,neurotypical
,,,,,
47,0,38,44,0,neurotypical
0,0,39,58,59,neurotypical
107,0,32,45,0,neurotypical
0,0,39,64,0,neurotypical
95,0,30,48,3,neurotypical
77,0,17,47,57,neurotypical
0,0,53,47,1,neurotypical
,,,,,
151,0,23,47,31,neurotypical
,,,,,
121,0,12,11,24,neurotypical
0,0,39,40,0,neurotypical
,,,,,
0,1,92,45,0,neurotypical
86,0,58,47,0,neurotypical
,,,,,
0,0,33,31,0,neurotypical
95,0,136,46,0,neurotypical
0,0,43,52,2,neurotypical
207,0,17,44,1,neurotypical
,,,,,
0,0,28,34,8,neurotypical
,,,,,
,,,,,
181,0,44,50,0,neurotypical
0,0,23,53,38,neurotypical
0,0,38,55,1,neurotypical
,,,,,
,,,,,
,,,,,
178,0,35,50,5,neurotypical
43,0,80,51,0,neurotypical
52,0,50,56,0,neurotypical
108,0,37,40,0,neurotypical
,,,,,
0,0,32,46,0,neurotypical
52,0,44,54,0,neurotypical
0,0,36,48,0,neurotypical
,,,,,
0,0,51,50,7,neurotypical
,,,,,
47,0,29,53,0,neurotypical
0,0,22,8,52,neurotypical
90,0,54,56,3,neurotypical
88,0,46,46,8,neurotypical
0,0,58,50,2,neurotypical
171,0,40,53,27,neurotypical
88,0,38,55,0,neurotypical
0,0,78,59,0,neurotypical
41,0,49,54,1,neurotypical
0,0,67,55,0,neurotypical
61,0,39,38,2,neurotypical
0,0,40,42,0,neurotypical
0,0,37,48,5,neurotypical
0,0,40,53,28,neurotypical
,,,,,
0,0,32,56,6,neurotypical
0,0,25,61,11,neurotypical
,,,,,
,,,,,
,,,,,
35,0,82,79,52,neurotypical
37,0,32,48,10,neurotypical
0,0,45,29,3,neurotypical
0,0,17,44,15,neurotypical
22,0,28,38,0,neurotypical
0,0,13,37,4,neurotypical
36,0,28,40,0,neurotypical
40,0,20,8,35,neurotypical
0,0,15,42,3,neurotypical
0,0,9,49,2,neurotypical
0,0,32,29,2,neurotypical
0,0,40,56,0,neurotypical
0,0,27,39,0,neurotypical
31,0,7,38,26,neurotypical
0,0,27,34,2,neurotypical
0,0,51,39,1,neurotypical
0,0,20,36,25,neurotypical
0,0,24,36,5,neurotypical
0,0,15,42,6,neurotypical
0,0,27,21,20,neurotypical
,,,,,
52,0,25,28,1,neurotypical
,,,,,
,,,,,
,,,,,
47,0,60,43,1,neurotypical
0,0,6,22,0,neurotypical
0,0,27,29,0,neurotypical
77,0,40,43,2,neurotypical
0,0,11,48,5,neurotypical
0,1,38,48,3,neurotypical
,,,,,
0,0,50,58,0,neurotypical
,,,,,
0,0,90,75,0,neurotypical
,,,,,
0,0,79,46,0,neurotypical
0,0,52,45,0,neurotypical
28,0,57,37,1,neurotypical
,,,,,
101,0,16,22,35,neurotypical
38,0,32,29,0,neurotypical
0,0,6,60,0,neurotypical
,,,,,
0,0,27,42,2,neurotypical
29,0,30,41,0,neurotypical
24,0,30,37,0,neurotypical
,,,,,
0,0,23,30,0,neurotypical
0,0,90,5,39,neurotypical
19,0,31,39,0,neurotypical
38,0,5,40,8,neurotypical
0,0,100,50,38,neurotypical
30,0,37,49,4,neurotypical
0,0,24,47,0,neurotypical
26,0,35,45,0,neurotypical
0,0,15,11,46,neurotypical
25,0,25,40,0,neurotypical
,,,,,
21,0,12,36,0,neurotypical
23,0,28,29,4,neurotypical
65,0,31,37,1,neurotypical
24,0,29,40,0,neurotypical
27,0,30,50,9,neurotypical
45,0,36,56,12,neurotypical
0,0,23,35,42,neurotypical
30,0,29,36,4,neurotypical
0,0,4,18,47,neurotypical
59,0,32,35,0,neurotypical
30,0,32,53,0,neurotypical
0,0,62,42,0,neurotypical
17,0,44,39,0,neurotypical
,,,,,
22,0,9,44,8,neurotypical
26,0,11,46,0,neurotypical
0,0,26,65,0,neurotypical
,,,,,
0,0,51,72,0,neurotypical
72,0,35,53,2,neurotypical
,,,,,
,,,,,
22,0,36,31,2,neurotypical
40,0,90,50,7,neurotypical
,,,,,
,,,,,
,,,,,
60,0,22,37,10,neurotypical
,,,,,
0,0,12,40,4,neurotypical
34,0,64,55,1,neurotypical
,,,,,
,,,,,
0,0,21,51,11,neurotypical
0,0,17,15,23,neurotypical
84,0,4,6,28,neurotypical
20,0,69,46,0,neurotypical
148,0,50,49,19,neurotypical
0,0,52,48,18,neurotypical
0,0,60,57,27,neurotypical
0,0,30,43,1,neurotypical
63,0,53,45,0,neurotypical
,,,,,
27,0,42,38,0,neurotypical
,,,,,
0,0,48,26,1,neurotypical
1,0,21,9,39,neurotypical
0,0,33,45,0,neurotypical
40,0,45,50,0,neurotypical
36,0,22,38,3,neurotypical
0,0,28,44,1,neurotypical
0,0,42,41,2,neurotypical
0,0,26,43,0,neurotypical
106,0,20,8,31,neurotypical
108,0,29,21,40,neurotypical
0,0,41,40,0,neurotypical
23,0,19,8,31,neurotypical
101,0,24,36,28,neurotypical
0,0,60,40,3,neurotypical
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
101,0,32,85,11,neurotypical
,,,,,
10,0,33,89,135,neurotypical
0,0,32,88,13,neurotypical
0,0,41,61,62,neurotypical
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,11,8,98,neurotypical
0,0,44,88,11,neurotypical
0,0,48,87,10,neurotypical
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,39,75,41,neurotypical
0,0,26,76,20,neurotypical
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,37,36,51,neurotypical
0,0,103,58,0,neurotypical
0,0,65,81,0,neurotypical
0,0,51,45,0,neurotypical
,,,,,
0,0,70,63,0,neurotypical
0,0,90,26,0,neurotypical
0,0,83,62,0,neurotypical
0,0,75,73,0,neurotypical
0,0,77,41,0,neurotypical
,,,,,
0,0,73,30,0,neurotypical
0,0,67,60,0,neurotypical
0,0,79,49,0,neurotypical
0,0,73,53,0,neurotypical
0,0,71,41,0,neurotypical
0,0,72,72,0,neurotypical
0,0,55,39,0,neurotypical
0,0,99,51,0,neurotypical
0,0,45,37,0,neurotypical
0,0,83,37,0,neurotypical
,,,,,
0,0,53,70,0,neurotypical
95,0,46,80,0,neurotypical
0,0,65,64,0,neurotypical
66,0,73,82,2,neurotypical
0,0,94,108,0,neurotypical
84,0,9,8,79,neurotypical
0,0,60,71,0,neurotypical
0,0,58,77,2,neurotypical
0,0,54,88,0,neurotypical
0,0,58,85,0,neurotypical
,,,,,
76,0,68,84,0,neurotypical
0,0,69,76,0,neurotypical
0,0,68,86,4,neurotypical
0,0,43,124,11,neurotypical
,,,,,
0,0,58,86,0,neurotypical
0,0,62,84,0,neurotypical
0,0,49,83,0,neurotypical
0,0,83,105,19,neurotypical
