curvature,strokewidth,density,x,y,w,h,distance,letterReversal,curvature_LogValue,strokewidth_LogValue,distance_LogValue,density_LogValue,class
0.000585235,30.60232807,1.30078125,0,0,8,37,0,0,-7.443497082,3.421076087,#NAME?,0.262965046,1
0.013815074,23.34523506,0.87890625,0,0,8,24,1,0,-4.281994964,3.150392897,0,-0.129077042,1
0.004062905,32.24903099,1.1953125,0,0,8,33,1,0,-5.505857044,3.473487996,0,0.178407657,1
0.002196152,28.14011451,1.65234375,0,0,8,46,1,0,-6.121048541,3.337196121,0,0.502194735,1
0.002220785,29.69283628,1.265625,0,0,8,35,1,0,-6.109894542,3.390905814,0,0.235566071,1
0.004547869,40.44749683,1.4765625,0,0,8,41,1,0,-5.393096507,3.700004759,0,0.389716751,1
0.002058868,32.42394803,1.30078125,0,0,8,36,1,0,-6.185598962,3.478897286,0,0.262965046,1
0.007899117,37.48332963,1.37109375,0,0,8,38,1,0,-4.841004298,3.623896291,0,0.315608779,1
0.016923023,34.6931366,1.30078125,0,0,8,36,1,0,-4.079080276,3.546541875,0,0.262965046,1
0,33.78533338,2.14453125,0,0,8,61,0,0,#NAME?,3.520026785,#NAME?,0.762920997,1
0.002282108,25.17935662,0.94921875,0,0,8,26,1,0,-6.082655702,3.226024477,0,-0.052116001,1
0.006818041,29.83286778,1.08984375,0,0,8,30,1,0,-4.988183092,3.395610731,0,0.086034337,1
0.001890592,38.61901733,1.6875,0,0,8,47,1,0,-6.270865271,3.653744832,0,0.523248144,1
0.020921323,27.16615541,1.01953125,0,0,8,28,1,0,-3.866986401,3.301971912,0,0.019342963,1
0.001241336,52.46903849,1.8984375,0,0,8,53,1,0,-6.69156706,3.960223253,0,0.641031179,1
0.244521639,25.49571067,1.79296875,0,0,8,50,1,0,-1.408451471,3.238510229,0,0.583872766,1
0.001504825,21.84032967,0.80859375,0,0,8,22,1,0,-6.499078667,3.083758246,0,-0.212458651,1
0.004968205,54.08326913,1.96875,0,0,8,55,1,0,-5.304696671,3.99052488,0,0.677398824,1
0.001909427,40.11234224,1.4765625,0,0,8,41,1,0,-6.260952082,3.691684073,0,0.389716751,1
0.000419408,34.86618031,1.37109375,0,0,8,38,1,0,-7.776666365,3.551517314,0,0.315608779,1
0.011573503,52.50454508,1.96875,0,0,8,56,0,0,-4.459037018,3.960899739,#NAME?,0.677398824,1
0.005745805,25.3179778,0.94921875,0,0,8,26,1,0,-5.159285256,3.231514728,0,-0.052116001,1
0,8.739074458,0.84375,0,0,8,23,1,0,#NAME?,2.167804287,0,-0.169899037,1
0.014972558,8.863126241,0.84375,0,0,8,24,0,0,-4.20153622,2.181899551,#NAME?,-0.169899037,1
0.000691388,22.71085687,1.58203125,0,0,8,44,1,0,-7.276809387,3.122843086,0,0.458709623,1
0,43.28972164,1.58203125,0,0,8,44,1,0,#NAME?,3.767915231,0,0.458709623,1
0.002184394,51.70428907,2.07421875,0,0,8,58,1,0,-6.126416834,3.945540739,0,0.729584577,1
0.002753798,29.6245155,1.16015625,0,0,8,33,0,0,-5.894774229,3.388602245,#NAME?,0.148554694,1
0.006640201,23.93348343,1.08984375,0,0,8,30,1,0,-5.014613045,3.175278459,0,0.086034337,1
0.013271746,26.67887575,1.08984375,0,0,8,30,1,0,-4.322117864,3.283872082,0,0.086034337,1
0.003818851,42.70521558,1.65234375,0,0,8,46,1,0,-5.567805687,3.754321058,0,0.502194735,1
0.020397636,17.01129178,0.94921875,0,0,8,26,1,0,-3.892336267,2.833877346,0,-0.052116001,1
0.009275707,8.331517301,1.40625,0,0,8,39,1,0,-4.680356447,2.120045589,0,0.340926587,1
0.032838603,8.220937882,0.87890625,0,0,8,24,1,0,-3.416150535,2.1066843,0,-0.129077042,1
0.002269722,19.13022956,1.1953125,0,0,8,33,1,0,-6.088097922,2.951269783,0,0.178407657,1
0,44.71637464,2.35546875,0,0,8,66,1,0,#NAME?,3.800339758,0,0.856739752,1
0.011206174,24.04163056,0.87890625,0,0,8,24,1,0,-4.491290403,3.179786934,0,-0.129077042,1
0.009647197,37.21558813,1.37109375,0,0,8,38,1,1,-4.641087872,3.616727709,0,0.315608779,1
0.001491719,31.58082765,2.0390625,0,0,8,58,0,1,-6.507826133,3.452550217,#NAME?,0.712490143,1
0.088993654,4.791188128,0.80859375,0,0,8,23,0,1,-2.419190215,1.566778424,#NAME?,-0.212458651,1
0.001316949,44.25138099,1.65234375,0,0,8,46,1,1,-6.632437581,3.78988658,0,0.502194735,1
0.000203824,43.18564576,1.58203125,0,0,8,44,1,1,-8.498253682,3.765508166,0,0.458709623,1
0.001689008,20.22374842,1.4765625,0,0,8,41,1,1,-6.383613905,3.006857578,0,0.389716751,1
0.044654376,13.81573221,1.16015625,0,0,8,32,1,1,-3.10880297,2.625807958,0,0.148554694,1
0.001527176,21.58703314,0.80859375,0,0,8,22,1,1,-6.484335001,3.072092817,0,-0.212458651,1
0.002728905,22.70098452,1.44140625,0,0,8,40,1,0,-5.903854849,3.122408294,0,0.3656192,1
0.002488077,41.61380007,1.65234375,0,0,8,47,0,0,-5.996245156,3.728431845,#NAME?,0.502194735,1
0.001580915,28.63564213,1.0546875,0,0,8,29,1,0,-6.449751486,3.35465217,0,0.053244515,1
0.002940467,21.84032967,0.80859375,0,0,8,22,1,0,-5.829186867,3.083758246,0,-0.212458651,0
0.011306646,24.18677324,0.9140625,0,0,8,25,1,0,-4.482364585,3.185805923,0,-0.089856329,0
0.031772057,13.62273341,0.9140625,0,0,8,25,1,0,-3.449168086,2.611739971,0,-0.089856329,0
0.001087782,16.27903997,1.01953125,0,0,8,28,1,0,-6.823614518,2.789878389,0,0.019342963,0
0.000806461,28.0713377,1.0546875,0,0,8,29,1,0,-7.122855019,3.334749045,0,0.053244515,0
0.009824569,29.15475947,1.08984375,0,0,8,30,1,0,-4.62286899,3.372618175,0,0.086034337,0
0.270505215,16.27726546,1.1953125,0,0,8,33,1,0,-1.307463902,2.789769377,0,0.178407657,0
0.004419382,33.13608305,1.23046875,0,0,8,34,1,0,-5.421755412,3.500622811,0,0.207395194,0
0.000271888,36.12478374,1.3359375,0,0,8,37,1,0,-8.210120341,3.58697916,0,0.289633293,0
0.001384704,19.67874518,1.37109375,0,0,8,38,1,0,-6.582268881,2.979539128,0,0.315608779,0
0.003722937,39.3192065,1.44140625,0,0,8,40,1,0,-5.593242406,3.671713115,0,0.3656192,0
0.002873231,42.57933771,1.546875,0,0,8,43,1,0,-5.852318098,3.751369105,0,0.436236767,0
0.000836641,49.36598019,1.79296875,0,0,8,50,1,0,-7.086115492,3.899261527,0,0.583872766,0
0.005621936,54.08326913,1.96875,0,0,8,55,1,0,-5.18107919,3.99052488,0,0.677398824,0
0.001057466,42.54837211,2.07421875,0,0,8,58,1,0,-6.851879799,3.750641596,0,0.729584577,0
0,50.6359556,2.03125,0,0,9,51,1,0,#NAME?,3.924661909,0,0.708651367,1
0.265136016,37.19576149,2.9296875,0,0,9,74,1,0,-1.327512317,3.616194816,0,1.074895762,1
0.001632573,56.99540595,3.0078125,0,0,9,76,1,0,-6.417597981,4.042970667,0,1.10121307,1
0.081901015,25.41521989,1.875,0,0,9,47,1,0,-2.502243895,3.235348203,0,0.628608659,1
0.005005524,14.11187421,0.859375,0,0,9,21,1,0,-5.297213176,2.647016586,0,-0.151549898,1
0.126011978,7.804563244,0.859375,0,0,9,21,1,0,-2.071378313,2.054708594,0,-0.151549898,1
0.006023359,18.10183972,0.8203125,0,0,9,20,1,0,-5.112110202,2.896013575,0,-0.198069914,1
0.279392375,13.38979814,1.3671875,0,0,9,34,1,0,-1.275138123,2.594493084,0,0.31275571,1
0.292514573,27.27343913,1.484375,0,0,9,37,1,0,-1.229240791,3.305913303,0,0.394993808,1
0.009812703,11.54753322,0.859375,0,0,9,21,1,0,-4.624077508,2.44647184,0,-0.151549898,1
0.014630479,22.4568747,1.015625,0,0,9,25,1,0,-4.224648324,3.11159679,0,0.015504187,1
0.004167326,32.55764119,1.328125,0,0,9,33,1,0,-5.480480696,3.483012093,0,0.283768173,1
0.001018583,25.84072838,1.09375,0,0,9,28,0,0,-6.889342833,3.251951867,#NAME?,0.089612159,1
0.016572804,18.37043962,0.8203125,0,0,9,20,1,0,-4.09999224,2.91074283,0,-0.198069914,1
0.002838686,20.61552813,0.859375,0,0,9,21,1,0,-5.86441401,3.026044585,0,-0.151549898,1
0.002566423,9.775833016,0.8203125,0,0,9,20,1,0,-5.965242178,2.279913321,0,-0.198069914,1
0.000379882,74.70325848,3.4375,0,0,9,87,1,0,-7.87564988,4.313523712,0,1.234744463,1
0.002179735,24.51530134,1.015625,0,0,9,25,1,0,-6.128551969,3.199297467,0,0.015504187,1
0.157237045,12.83234148,1.015625,0,0,9,25,1,0,-1.850000772,2.551968662,0,0.015504187,1
0.526921613,9.46882976,0.8203125,0,0,9,20,1,0,-0.640703483,2.248005326,0,-0.198069914,1
0.002642313,33.18700824,1.6796875,0,0,9,42,1,0,-5.936100609,3.502158481,0,0.518607764,1
0.00326096,25.96150997,1.0546875,0,0,9,26,1,0,-5.725733648,3.256615055,0,0.053244515,1
0.001401833,26.62597635,1.25,0,0,9,31,1,0,-6.569974613,3.281887294,0,0.223143551,1
0.019100763,21.84032967,0.8984375,0,0,9,22,1,0,-3.958026997,3.083758246,0,-0.107098136,1
0,20.30493536,0.9765625,0,0,9,25,0,0,#NAME?,3.010863978,#NAME?,-0.023716527,1
0.00870623,11.26381987,0.859375,0,0,9,21,1,0,-4.743716418,2.421595808,0,-0.151549898,1
0.000539424,25,1.015625,0,0,9,25,1,0,-7.525008654,3.218875825,0,0.015504187,1
0.402885413,21.53093707,0.9375,0,0,9,23,1,0,-0.909103092,3.069490834,0,-0.064538521,1
0.003169033,36.19315426,1.5625,0,0,9,39,1,0,-5.754328785,3.588869992,0,0.446287103,1
0.007907164,36.12478374,1.484375,0,0,9,37,1,0,-4.839986095,3.58697916,0,0.394993808,1
0.001439143,30.53983767,1.2890625,0,0,9,33,0,0,-6.543707481,3.419031984,#NAME?,0.25391521,1
0.001557075,31.25699922,1.2890625,0,0,9,32,1,0,-6.464946218,3.442243326,0,0.25391521,1
0.001499178,21.21320344,0.8984375,0,0,9,22,1,0,-6.502838321,3.054623792,0,-0.107098136,1
0.002255895,23.35098547,1.0546875,0,0,9,27,0,0,-6.094208489,3.150639188,#NAME?,0.053244515,1
0.000471517,39.11521443,1.6015625,0,0,9,40,1,0,-7.659555401,3.666511507,0,0.470979715,1
0.006627119,70.82554985,2.9296875,0,0,9,74,1,0,-5.016585109,4.260219809,0,1.074895762,1
0.003713176,31.25699922,1.2890625,0,0,9,32,1,0,-5.595867704,3.442243326,0,0.25391521,1
0.071447635,0.868517092,2.8515625,0,0,9,73,0,0,-2.638790475,-0.140968014,#NAME?,1.04786709,1
0,46.13675144,2.3828125,0,0,9,61,0,0,#NAME?,3.831609844,#NAME?,0.868281513,1
0.004467483,64.19501538,2.5390625,0,0,9,65,0,0,-5.410930116,4.161925566,#NAME?,0.931794918,1
0.012757065,55.79307451,2.34375,0,0,9,59,1,0,-4.361670043,4.021649749,0,0.851752211,1
0.001327409,33.64299484,1.484375,0,0,9,37,1,0,-6.624526357,3.515804857,0,0.394993808,1
0.006271393,25.70992026,1.0546875,0,0,9,26,1,0,-5.07175678,3.24687692,0,0.053244515,1
0.001261628,42.57933771,1.71875,0,0,9,43,1,0,-6.675352329,3.751369105,0,0.541597282,1
