curvature,strokewidth,density,x,y,w,h,distance,letterReversal,class
0.126011978,7.804563244,0.859375,0,0,9,21,1,0,1
0.006023359,18.10183972,0.8203125,0,0,9,20,1,0,1
0.279392375,13.38979814,1.3671875,0,0,9,34,1,0,1
0.292514573,27.27343913,1.484375,0,0,9,37,1,0,1
0.009812703,11.54753322,0.859375,0,0,9,21,1,0,1
0.014630479,22.4568747,1.015625,0,0,9,25,1,0,1
0.004167326,32.55764119,1.328125,0,0,9,33,1,0,1
0.001018583,25.84072838,1.09375,0,0,9,28,0,0,1
0.016572804,18.37043962,0.8203125,0,0,9,20,1,0,1
0.002838686,20.61552813,0.859375,0,0,9,21,1,0,1
0.002566423,9.775833016,0.8203125,0,0,9,20,1,0,1
0.000379882,74.70325848,3.4375,0,0,9,87,1,0,1
0.002179735,24.51530134,1.015625,0,0,9,25,1,0,1
0.157237045,12.83234148,1.015625,0,0,9,25,1,0,1
0.526921613,9.46882976,0.8203125,0,0,9,20,1,0,1
0.002642313,33.18700824,1.6796875,0,0,9,42,1,0,1
0.00326096,25.96150997,1.0546875,0,0,9,26,1,0,1
0.001401833,26.62597635,1.25,0,0,9,31,1,0,1
0.019100763,21.84032967,0.8984375,0,0,9,22,1,0,1
0,20.30493536,0.9765625,0,0,9,25,0,0,1
0.00870623,11.26381987,0.859375,0,0,9,21,1,0,1
0.000539424,25,1.015625,0,0,9,25,1,0,1
0.402885413,21.53093707,0.9375,0,0,9,23,1,0,1
0.003169033,36.19315426,1.5625,0,0,9,39,1,0,1
0.007907164,36.12478374,1.484375,0,0,9,37,1,0,1
0.001439143,30.53983767,1.2890625,0,0,9,33,0,0,1
0.001557075,31.25699922,1.2890625,0,0,9,32,1,0,1
0.001499178,21.21320344,0.8984375,0,0,9,22,1,0,1
0.002255895,23.35098547,1.0546875,0,0,9,27,0,0,1
0.000471517,39.11521443,1.6015625,0,0,9,40,1,0,1
0.006627119,70.82554985,2.9296875,0,0,9,74,1,0,1
0.003713176,31.25699922,1.2890625,0,0,9,32,1,0,1
0.071447635,0.868517092,2.8515625,0,0,9,73,0,0,1
0,46.13675144,2.3828125,0,0,9,61,0,0,1
0.004467483,64.19501538,2.5390625,0,0,9,65,0,0,1
0.012757065,55.79307451,2.34375,0,0,9,59,1,0,1
0.001327409,33.64299484,1.484375,0,0,9,37,1,0,1
0.006271393,25.70992026,1.0546875,0,0,9,26,1,0,1
0.001261628,42.57933771,1.71875,0,0,9,43,1,0,1
0.000698201,17.2626765,1.0546875,0,0,9,26,1,0,1
0.004874691,24.4952116,1.953125,0,0,9,49,1,0,1
0.000444327,63.16471523,3.7109375,0,0,9,94,1,0,1
0.001809117,22.77212678,1.6796875,0,0,9,43,0,0,1
0,49.27773017,2.8515625,0,0,9,73,0,0,1
0.008234938,30.2080074,1.5234375,0,0,9,38,1,0,1
0.082349405,5.793491931,0.859375,0,0,9,21,1,0,1
0.060832942,13.29789758,1.875,0,0,9,48,0,0,1
0.005404424,12.21983564,0.9375,0,0,9,23,1,0,1
0.003348248,52.08646657,2.109375,0,0,9,53,1,1,1
0.008010939,32.53466047,1.71875,0,0,9,43,1,1,1
0.407542463,13.06149551,0.9765625,0,0,9,24,1,1,1
0.003686104,33.13608305,1.3671875,0,0,9,34,1,1,1
0.000755932,32.24903099,1.328125,0,0,9,33,1,1,1
0,22.58883882,1.3671875,0,0,9,34,1,1,1
0.001749755,27.89265136,1.1328125,0,0,9,28,1,1,1
0.005254628,27.48766209,1.2890625,0,0,9,32,1,1,1
0.006663652,50.48762225,2.03125,0,0,9,51,1,1,1
0.004434511,47.33453316,2.109375,0,0,9,53,1,1,1
0,19.03988866,0.8203125,0,0,9,20,1,,1
0.001203352,46.27658122,1.953125,0,0,9,49,1,,1
0.009784294,44.28317965,1.796875,0,0,9,45,1,,1
0.001525,54.21900952,2.3046875,0,0,9,58,1,,1
0.001188178,15.69382956,0.859375,0,0,9,21,1,,0
0.025534976,18.21422841,0.9375,0,0,9,23,1,,0
0.000494948,26.01922366,1.09375,0,0,9,27,1,,0
0.000285718,26.47640459,1.09375,0,0,9,27,1,,0
0.020535407,19.35529859,1.171875,0,0,9,29,1,,0
0.000484006,28.86173938,1.171875,0,0,9,29,1,,0
0.00359394,29.61418579,1.2109375,0,0,9,30,1,,0
0.002061563,28.38331087,1.25,0,0,9,31,1,,0
0.003038961,31.144823,1.2890625,0,0,9,32,1,,0
0.006559404,32.38826948,1.328125,0,0,9,33,1,,0
0,25.60276621,1.3671875,0,0,9,35,0,,0
0.010967775,33.73425559,1.3671875,0,0,9,34,1,,0
0.004729284,35.12833614,1.4453125,0,0,9,36,1,,0
0.00086691,33.14406665,1.484375,0,0,9,37,1,,0
0.000249736,43.41658669,1.7578125,0,0,9,44,1,,0
0.002039392,48.50773134,1.953125,0,0,9,49,1,,0
0.004342071,47.50773134,1.953125,0,0,9,49,1,,0
0.000276486,45.91530773,2.03125,0,0,9,51,1,,0
0.001379505,50.48762225,2.03125,0,0,9,51,1,,0
0.006592821,71.02816343,2.8515625,0,0,9,72,1,,0
0.001891624,79.15806971,3.1640625,0,0,9,80,1,,0
0.003329928,29.02629759,1.71875,0,0,10,39,1,0,1
0.004137207,35.51193122,1.76171875,0,0,10,40,1,0,1
0,19.92602794,1.1171875,0,0,10,26,0,0,1
0.023919923,16.93099077,1.16015625,0,0,10,26,1,0,1
0.003072484,23.19812654,1.16015625,0,0,10,27,0,0,1
0.003090319,24.03044323,1.16015625,0,0,10,27,0,0,1
0,24.19485974,1.890625,0,0,10,43,1,0,1
0.010454937,32.83009434,1.58984375,0,0,10,36,1,0,1
0.030233336,29.16753565,2.10546875,0,0,10,48,1,0,1
0.003165212,28.27456234,1.33203125,0,0,10,30,1,0,1
0.013279814,9.947109409,0.90234375,0,0,10,20,1,0,1
0.044523778,6.521881686,0.859375,0,0,10,19,1,0,1
0.00303396,6.489178544,0.90234375,0,0,10,20,1,0,1
0.007565007,11.8573668,0.81640625,0,0,10,18,1,0,1
0.028278281,11.37873029,0.9453125,0,0,10,21,1,0,1
0.010671816,19.6977156,0.859375,0,0,10,19,1,0,1
0.02172033,22.09072203,1.03125,0,0,10,23,1,0,1
0.009603639,15.22116828,0.98828125,0,0,10,22,1,0,1
0.044400429,14.39461724,1.07421875,0,0,10,25,0,0,1
0.005963505,12.63527841,1.24609375,0,0,10,28,1,0,1
0.010124164,17.72004515,0.81640625,0,0,10,18,1,0,1
0.227331964,17.02914039,0.9453125,0,0,10,21,1,0,1
0.006550609,19.79459704,0.98828125,0,0,10,22,1,0,1
0.019803675,24.56471367,1.203125,0,0,10,27,1,0,1
0,18.97366596,0.859375,0,0,10,19,1,0,1
0.001137486,27.54093497,1.4609375,0,0,10,33,1,0,1
0,25.63200372,1.24609375,0,0,10,28,1,0,1
0.007885906,17.72004515,0.81640625,0,0,10,18,1,0,1
0.006946074,26.47643257,1.41796875,0,0,10,32,1,0,1
0.000652312,18.78701494,1.93359375,0,0,10,44,1,0,1
0.001494961,38.25150479,1.8046875,0,0,10,41,1,0,1
0.004694044,12.37063101,1.03125,0,0,10,23,1,0,1
0.00380298,28.96801767,1.4609375,0,0,10,33,1,0,1
0.008329365,21.84032967,0.9453125,0,0,10,21,1,0,1
0.009724108,21.35323817,1.6328125,0,0,10,37,1,0,1
0.007660596,26.2974607,2.10546875,0,0,10,49,0,0,1
0.004201416,14.38315171,1.7578125,0,0,10,44,1,0,1
0.002496476,36.09240173,1.6328125,0,0,10,37,1,0,1
0,24.91902863,1.24609375,0,0,10,28,1,0,1
0.179670697,14.72376009,1.1171875,0,0,10,26,0,0,1
0.001238863,34.36568055,1.546875,0,0,10,35,1,0,1
0.000189312,47.26520919,2.10546875,0,0,10,48,1,0,1
0.000829111,54.69628654,3.22265625,0,0,10,74,1,0,1
0,35.92370333,1.67578125,0,0,10,39,0,0,1
0.004527296,13.60425511,0.98828125,0,0,10,22,1,0,1
0,44.91679217,2.234375,0,0,10,52,0,0,1
0.002625053,29.01723626,1.2890625,0,0,10,30,0,0,1
0.03582867,8.41540375,1.24609375,0,0,10,28,1,0,1
0.004437341,11.74754687,1.76171875,0,0,10,41,0,0,1
0,34.13209633,3.1796875,0,0,10,74,0,0,1
0.00322951,45.55653592,3.65234375,0,0,10,84,1,0,1
0.005141153,16.1245155,2.01953125,0,0,10,46,1,1,1
0.023551112,15.44747071,0.859375,0,0,10,19,1,1,1
0.270738791,16.89542605,1.50390625,0,0,10,34,1,1,1
0.007125303,26.59956635,1.24609375,0,0,10,28,1,1,1
0.001626827,29.38998998,1.375,0,0,10,31,1,1,1
0.003938653,19.23538406,0.81640625,0,0,10,18,1,,1
0.004074688,19.34738341,0.9453125,0,0,10,21,1,,1
0.000492475,39.44749683,1.8046875,0,0,10,41,1,,1
0.011425927,18.78829423,0.81640625,0,0,10,18,1,,0
0.025790509,12.66790913,0.81640625,0,0,10,18,1,,0
0.005690567,15.22324788,0.859375,0,0,10,20,0,,0
0,17.12133995,0.859375,0,0,10,20,0,,0
0.011723123,16.86304115,0.859375,0,0,10,19,1,,0
0.27576303,10.89588594,0.98828125,0,0,10,22,1,,0
0.006305415,11.29104707,1.1171875,0,0,10,25,1,,0
0.004433791,24.67698133,1.203125,0,0,10,27,1,,0
0.010032499,13.90985585,1.203125,0,0,10,28,0,,0
0.001599982,26.30589288,1.203125,0,0,10,27,1,,0
0.333374928,24.05336095,1.24609375,0,0,10,28,1,,0
0.002842126,28.28427125,1.2890625,0,0,10,29,1,,0
0.002467467,29.83286778,1.33203125,0,0,10,30,1,,0
0.001955566,25.35460445,1.33203125,0,0,10,30,1,,0
0.006514162,24.64831849,1.33203125,0,0,10,31,0,,0
