x,y,w,h,distance,class
0,0,19,15,1,LD
0,0,16,19,1,LD
0,0,18,16,1,LD
0,0,14,16,1,LD
0,0,15,13,1,LD
0,0,17,11,1,LD
0,0,15,14,1,LD
0,0,15,16,1,LD
0,0,14,16,1,LD
0,0,17,19,1,LD
0,0,18,19,1,LD
0,0,13,20,1,LD
0,0,14,18,1,LD
0,0,15,16,1,LD
0,0,17,18,1,LD
0,0,54,22,1,LD
0,0,43,8,1,LD
0,0,14,16,1,LD
0,0,50,3,1,LD
0,0,13,16,1,LD
0,0,19,13,1,LD
,,,,,LD
0,0,21,16,1,LD
0,0,21,14,1,LD
0,0,15,18,1,LD
0,0,56,27,1,LD
0,0,15,21,1,LD
0,0,17,23,1,LD
0,0,15,23,1,LD
0,0,15,22,1,LD
0,0,15,20,1,LD
0,0,19,19,1,LD
0,0,15,16,1,LD
0,0,21,25,1,LD
0,0,38,24,1,LD
0,0,19,20,1,LD
0,0,53,34,0,LD
0,0,17,27,1,LD
0,0,20,24,1,LD
0,0,22,29,1,LD
0,0,14,19,1,LD
0,0,15,21,1,LD
0,0,13,23,1,LD
0,0,13,17,1,LD
0,0,16,20,1,LD
0,0,45,34,0,LD
,,,,,LD
0,0,17,19,1,LD
0,0,23,30,1,LD
0,0,19,23,1,LD
0,0,19,25,1,LD
0,0,17,25,1,LD
0,0,63,38,0,LD
0,0,17,20,1,LD
0,0,21,20,1,LD
0,0,18,26,0,LD
0,0,16,18,0,LD
0,0,14,21,0,LD
0,0,13,19,0,LD
0,0,34,24,0,LD
0,0,16,21,1,LD
0,0,12,18,1,LD
0,0,13,19,1,LD
0,0,12,18,1,LD
0,0,17,23,1,LD
0,0,38,24,1,LD
0,0,32,26,1,LD
0,0,15,21,1,LD
0,0,21,18,1,LD
0,0,15,21,1,LD
0,0,13,20,1,LD
0,0,12,15,1,LD
0,0,10,20,1,LD
0,0,8,23,0,LD
0,0,11,16,1,LD
0,0,18,12,1,LD
0,0,19,13,1,LD
