curvature,strokewidth,density,x,y,w,h,distance,class
0.417497607,16.26762276,537.625,,,,,,1
0.171102982,23.26302037,268.046875,,,,,,1
0.20499482,50.27426799,159.7148438,,,,,,1
0.095894791,38.73394268,110.3320313,0,0,49,72,33,1
0.294598731,22.0596914,101.0820313,,,,,,1
0.320503659,24.07683866,196.4023438,,,,,,1
0.438778206,19.13104471,203.71875,,,,,,1
0.228412607,21.9389012,343.8398438,,,,,,1
0.558663988,21.77072818,16.2265625,,,,,,1
0.150513833,23.71860473,7.265625,,,,,,1
0.119081785,28.99891628,333.921875,,,,,,1
0.270689639,27.25330875,422.9375,,,,,,1
0.107430748,28.93342141,38.2578125,,,,,,1
0.075419375,32.23265129,106.3476563,,,,,,1
0.152926742,51.17998022,84.6015625,,,,,,1
0.004570345,44.45692693,24.609375,0,0,48,126,0,1
0.207568641,19.26887317,287,,,,,,1
0.270394468,19.63895128,324.796875,,,,,,1
0.159356618,29.91400444,155.1171875,,,,,,1
0.400264631,18.98815426,106.640625,,,,,,1
0.192689953,16.03703943,50.015625,,,,,,1
0.191995999,15.79727245,87.7265625,,,,,,1
0.218705141,15.91248953,257.3398438,,,,,,1
0.010343675,10.35873997,18.04296875,,,,,,1
0.053755784,5.866340966,8.3828125,0,0,11,17,12,1
0.004455029,11.15515827,22.546875,39,0,18,34,5,1
0.007219278,8.709640679,15.85546875,,,,,,1
0.004385713,11.65426737,23.375,0,0,14,26,18,1
0.010357789,7.902614447,13.8046875,26,0,17,29,9,1
0.018301987,9.936104622,10.5703125,0,0,17,23,10,1
0.013265912,8.138473579,7.75,,,,,,1
0.00707536,5.110361936,4.671875,,,,,,1
0.036833808,6.710015509,11.23046875,12,0,19,24,1,1
0.077149493,10.3956313,36.09375,5,0,138,29,4,1
0.03952077,12.26258732,143.78125,,,,,,1
0.043195622,11.73351702,51.828125,,,,,,1
0.058147858,12.5704927,33.76953125,,,,,,1
0.051931705,10.82517967,32.8046875,,,,,,1
0.093289161,11.49484599,63.234375,,,,,,1
0.045389411,11.34653531,30.28125,,,,,,1
0.060452074,19.63139559,81.046875,,,,,,1
0.02789466,11.95982369,34.734375,,,,,,1
0.055313477,13.74770486,28.9453125,,,,,,1
0.047783127,9.374632787,28.9453125,,,,,,1
0.015644522,11.77719178,18.5,,,,,,1
0.061111323,13.38965702,22.65625,0,0,112,29,0,1
0.043858565,13.07836056,15.44921875,,,,,,1
0.071596058,9.112425479,31.796875,,,,,,1
0.03949841,9.704478305,32.65625,,,,,,1
0.036168587,11.26954696,26.859375,,,,,,1
0.053452767,10.74295963,32.08203125,,,,,,1
0.062569803,10.15129572,19.14453125,,,,,,1
0.007194541,9.111226166,18.69140625,,,,,,1
0.066872203,10.17279443,22.3828125,,,,,,1
0.033227247,6.776805843,6.2890625,,,,,,1
0.072540091,7.427771053,5.30078125,,,,,,1
0.025173862,5.777104659,5.58984375,,,,,,1
0.087469812,6.293999117,7.21875,,,,,,1
