curvature,target_class
0.00454127,1
0.009992563,1
0.40703669,1
0.014478283,1
0.002570471,1
0.016839228,1
0.004656006,1
0.013051945,1
0.339865642,1
0.009968969,1
0.389960746,1
0.004916226,1
0.002752303,1
0.013418424,1
0.258428317,1
0.000819353,1
0.272296549,1
0.005971122,1
0.010078132,1
0.003057465,1
0.046300505,1
0.003271551,1
0.000584098,1
0.004532973,1
0.126011978,1
0.008491693,1
0.004795165,1
0.011563662,1
0.453723006,1
0.011428543,1
0.074924268,1
0.059794915,1
0.000553899,1
0.003100697,1
0.002580913,1
0.073517444,1
0.018417356,1
0.011775836,1
0.015188519,1
0.034379486,1
0.008961513,1
0.000363307,1
0.003760355,1
0.003086414,1
0.22423493,1
0.001851325,1
0.009395388,1
0.035335928,1
0.272271061,1
0.00763375,1
0,1
0.18673002,1
0.001369806,1
0.002057588,1
0.003407267,1
0.35971791,1
0.005354689,1
0.005063732,1
0.008595856,1
0.013117715,1
0.010655324,1
0.007585105,1
0.007153122,1
0.00197404,1
0.002243047,1
0.015929272,1
0.219749442,1
0.011209989,1
0.001317837,1
0.015511979,1
0.000990644,1
0.007308132,1
0.007637718,1
0.000707053,1
0.000617957,1
0.000529765,1
0,1
0.14813494,1
0.005767621,1
0.00237914,1
0.080666481,1
0.008151571,1
0.008733762,1
0.000967196,1
0.051764629,1
0.358685496,1
0.006562303,1
0.042463366,1
0.635689148,1
0.012477945,1
0.406765872,1
0.0080333,1
0.000871991,1
0.021579303,1
0.028193602,1
0.007175268,1
0.019363779,1
0.002278063,1
0.41442967,1
0.007255914,1
0.010224556,1
0.008691253,1
0.43165391,1
0.019158269,1
0.003862185,1
0.017663863,1
0.122990058,1
0.00502495,1
0.001018619,1
0.005754296,1
0.022955403,1
0.005121301,1
0.009889061,1
0.528638241,1
0.003406126,1
0.000692451,1
0.00059418,1
0.016492798,1
0.057885887,1
0.324836524,1
0.006361219,1
0.299423915,1
0.097713488,1
0.003372806,1
0.010821637,1
0.007704118,1
0.000626062,1
0.00664515,1
0.208608795,1
0.213972366,1
0.018004533,1
0.176750916,1
0.000740092,1
0.010025117,1
0.009863626,1
0.371344533,1
0.000264664,1
0.001362128,1
0.019123326,1
0.302695783,1
0.011925592,1
0.002865709,1
0.336520198,1
0.003704175,1
0.181204471,1
0.001171505,1
0.501371413,1
0.012576088,1
0.010025284,1
0.007587891,1
0.011847757,1
0.008005597,1
0.001658795,1
0.002065327,1
