density,target_class
7.9921875,1
13.546875,1
13.18359375,1
16.6796875,1
18.25,1
3.4453125,1
7.20703125,1
9.546875,1
12.55078125,1
1.2578125,1
1.58984375,1
6.34375,1
1.59375,1
0.9375,1
26.3671875,1
14.78125,1
1.875,1
10.05078125,1
12.65625,1
0.8203125,1
4.03125,1
12.6328125,1
3.1875,1
13.1171875,1
14.453125,1
4.15625,1
7.86328125,1
13.359375,1
14.1328125,1
1.75,1
9.453125,1
13.078125,1
11.07421875,1
12.34375,1
3.09765625,1
8.52734375,1
2.59765625,1
11.75390625,1
1.66015625,1
2.98828125,1
6.296875,1
6.2109375,1
22.9453125,1
16.625,1
19.484375,1
1.3671875,1
15.28515625,1
5.4375,1
4.94140625,1
