curvature,strokewidth,density,x,y,w,h,distance,curvature_LogValue,strokewidth_LogValue,distance_LogValue,density_LogValue,class
0.025932621,10.54078325,13.40625,0,0,156,22,0,-3.652253605,2.355251852,#NAME?,2.595721016,1
0.010988984,11.60844281,17.671875,0,0,156,29,0,-4.510861963,2.451732662,#NAME?,2.871974393,1
0.003223094,7.921625112,16.6640625,0,0,158,27,0,-5.737413511,2.069596376,#NAME?,2.813254455,1
0.006355508,53.07420853,13.609375,0,0,65,52,0,-5.05843344,3.971691095,#NAME?,2.610758893,1
0.050706119,18.73713942,13.7109375,0,0,32,59,19,-2.981708685,2.930507619,2.944438979,2.618193872,1
0.101583162,13.92597445,4.64453125,0,0,39,29,0,-2.286877486,2.633755762,#NAME?,1.535690452,1
0.258051127,11.78034204,15.44140625,42,0,15,7,60,-1.354597547,2.466432213,4.094344562,2.737052619,1
0.005281555,30.25716555,13.78125,31,0,30,56,0,-5.243534717,3.409733034,#NAME?,2.623308973,1
0.357678079,49.17229673,25.59375,0,0,70,91,0,-1.028121918,3.89533039,#NAME?,3.242348181,1
0.004676638,61.33711313,18.6328125,0,0,43,106,0,-5.365175803,4.116385094,#NAME?,2.924924139,1
0.002141728,66.37572275,25.703125,11,0,81,70,0,-6.146142299,4.195331368,#NAME?,3.24661258,1
0.00453725,42.24249379,12.67578125,0,0,39,59,0,-5.395434177,3.743426676,#NAME?,2.539693185,1
0.135462622,18.5132332,36.75,0,0,12,80,18,-1.999059529,2.918485784,2.890371758,3.604138226,1
0.285898052,55.25608155,19.16015625,0,0,43,109,0,-1.252119993,4.011978408,#NAME?,2.952832928,1
0.231105613,40.19177521,86.42578125,0,1,46,60,64,-1.464880474,3.693662378,4.158883083,4.459286025,1
0.236134807,50.03893578,79.19140625,73,0,74,65,32,-1.443352421,3.912801418,3.465735903,4.371867786,1
0.011518806,58.17162767,29.109375,0,0,79,92,0,-4.463774275,4.063397739,#NAME?,3.371060287,1
0.040869842,14.81869326,6.4453125,3,0,10,17,13,-3.197362847,2.695889442,2.564949357,1.863353122,1
0.202139717,32.75041668,28.3359375,0,0,38,58,4,-1.598796152,3.488915685,1.386294361,3.344130875,1
0.002638822,54.20037878,15.6328125,0,0,56,69,0,-5.937422674,3.992687897,#NAME?,2.749372071,1
0.002864693,50.21784357,48.09375,0,0,65,70,11,-5.85529409,3.916370413,2.397895273,3.873152231,1
0.003092011,62.72218352,22.37109375,0,0,67,83,0,-5.778933591,4.138715189,#NAME?,3.107769668,1
0.010919485,47.39799555,39.6015625,0,0,53,69,5,-4.517206471,3.85857994,1.609437912,3.678868575,1
0.010323366,22.73519262,13.88671875,0,1,25,32,46,-4.573345409,3.12391406,3.828641396,2.630932898,1
0.00327741,101.1213934,24.96484375,0,0,75,83,0,-5.720701803,4.61632171,#NAME?,3.217468585,1
0.005795435,70.4161791,26.4140625,0,0,96,69,0,-5.15068474,4.254423054,#NAME?,3.273896539,1
0.214176588,38.79433365,89.03125,4,0,7,6,82,-1.540954427,3.658274196,4.406719247,4.488987432,1
0.220053464,40.8482364,25.3125,0,0,70,90,0,-1.513884744,3.709863648,#NAME?,3.231298345,1
0.387939105,12.37826187,10.875,0,0,41,21,11,-0.946906898,2.515941859,2.397895273,2.386466577,1
0.203712096,36.75592272,67.921875,50,0,62,61,31,-1.591047576,3.604299375,3.433987204,4.218358148,1
0.260487592,34.43935376,13.546875,0,0,49,68,0,-1.34520005,3.539199915,#NAME?,2.606155893,1
0.241430002,28.39282366,16.76953125,0,0,51,81,0,-1.421175695,3.346136425,#NAME?,2.819563624,1
0.005841214,43.13488226,19.13671875,0,0,69,69,0,-5.142816627,3.764332003,#NAME?,2.951608937,1
0.004179286,55.83698474,22.8515625,0,0,88,65,0,-5.47761486,4.022436459,#NAME?,3.129019496,1
0.024842195,24.12032508,30.80078125,0,1,81,94,0,-3.69521166,3.183054849,#NAME?,3.427540055,1
0.194414297,39.71321836,81.37890625,0,0,33,46,37,-1.637763845,3.681684088,3.610917913,4.399116102,1
0.192191091,31.98160524,28.25,0,0,33,45,19,-1.649265136,3.465160901,2.944438979,3.341093458,1
0.38737033,30.21692919,25.0078125,38,0,27,49,17,-0.948374118,3.408402337,2.833213344,3.219188276,1
0.004487898,30.28360054,13.60546875,0,0,37,42,1,-5.406370838,3.41060633,0,2.610471826,1
0.002157239,27.91019046,14.015625,0,0,10,33,13,-6.138926116,3.328991872,2.564949357,2.640172779,1
0.032809476,23.22220741,12.9609375,0,0,43,33,9,-3.417037903,3.145109037,2.197224577,2.561940026,1
0.090281986,29.27247672,30.65625,0,0,45,48,24,-2.404817329,3.376647713,3.17805383,3.422836557,1
0.186171169,31.03736897,49.5703125,31,0,36,66,28,-1.681088765,3.435191929,3.33220451,3.903392116,1
0.170501961,19.61122924,45.8671875,0,0,34,43,14,-1.769008481,2.976102323,2.63905733,3.825749992,1
0.392595802,23.8235329,27.45703125,0,0,21,42,29,-0.93497469,3.170673869,3.36729583,3.312622283,1
0.326304916,26.39879466,58.5703125,21,0,71,49,0,-1.11992301,3.273318352,#NAME?,4.070227956,1
0.122421927,16.99485223,14.84375,47,0,51,24,14,-2.100281783,2.832910488,2.63905733,2.697578901,1
0.027097552,18.36942129,11.80078125,24,0,27,43,14,-3.608311887,2.910687396,2.63905733,2.468165737,1
0.184730533,33.53210396,23.8359375,0,0,27,54,0,-1.688857094,3.512503307,#NAME?,3.171194421,1
0.007634761,21.20262744,26.625,64,0,30,48,0,-4.875043644,3.05412511,#NAME?,3.281850624,1
0.132944543,20.09388823,25.09375,0,0,19,44,0,-2.017823208,3.000415701,#NAME?,3.222618811,1
0.446604731,27.44755466,26.296875,0,0,28,51,0,-0.806081346,3.312277081,#NAME?,3.269450111,1
0.056565902,21.09674907,33.140625,37,0,25,20,64,-2.872348913,3.049118956,4.158883083,3.500759871,1
0.05723273,41.62784405,24.08203125,0,0,30,45,0,-2.860629341,3.728769271,#NAME?,3.181465971,1
0.321471211,27.43485255,15.421875,0,0,26,42,5,-1.134847285,3.311814196,1.609437912,2.735786956,1
0.096611026,25.45831264,19.125,30,0,22,51,0,-2.337062403,3.237042316,#NAME?,2.95099638,1
0.164557522,19.52129501,14.6875,0,0,24,45,2,-1.804495092,2.971505922,0.693147181,2.686996792,1
0.012611596,29.57974947,12.9375,56,0,34,36,0,-4.373138571,3.387089988,#NAME?,2.560130071,1
0.376545664,25.73390031,11.05078125,0,0,5,35,6,-0.976715954,3.247809201,1.791759469,2.402501127,1
0.253127216,27.23203825,42.63671875,0,0,48,45,14,-1.373863087,3.304394157,2.63905733,3.752715825,1
0.337177402,28.56735776,16.36328125,0,0,69,59,0,-1.087146072,3.352264729,#NAME?,2.795039876,1
0.160927997,30.0937875,13.125,0,0,35,39,1,-1.826798238,3.404318755,0,2.574518808,1
0.416958614,19.69549577,69.359375,0,0,34,46,0,-0.874768309,2.980389968,#NAME?,4.239301321,1
0.26756072,21.32828478,13.53515625,0,0,26,35,0,-1.318408748,3.060034116,#NAME?,2.605290467,1
0.270602029,37.73630825,22.6875,57,0,29,66,0,-1.307106065,3.630622715,#NAME?,3.121814112,1
0.008418573,26.66411346,13.60546875,42,0,37,43,0,-4.777314943,3.283318596,#NAME?,2.610471826,1
0.512270889,23.74236704,24.84375,96,0,22,40,13,-0.668901714,3.167261091,2.564949357,3.212606212,1
0.002300063,41.671101,16.859375,0,0,50,83,0,-6.074818765,3.729807867,#NAME?,2.824906882,1
0.559949824,28.26283617,17.0546875,0,0,31,59,0,-0.579908099,3.341547732,#NAME?,2.836425093,1
0.111538378,42.79948043,17.609375,0,0,4,46,3,-2.19338655,3.756525963,1.098612289,2.868431431,1
0.355068637,37.88025549,25.34765625,0,0,31,63,0,-1.035444165,3.634430013,#NAME?,3.23268627,1
0.160600997,35.60382385,39.046875,0,1,25,67,0,-1.82883227,3.572453044,#NAME?,3.664762847,1
0.161022911,36.94826155,49.28125,0,0,52,76,0,-1.82620862,3.609518598,#NAME?,3.897543684,1
0.011350854,32.37603518,12.30078125,37,0,28,47,0,-4.478462296,3.477418494,#NAME?,2.509662777,1
