curvature,strokewidth,density,x,y,w,h,distance,class
0.260435754,20.37610417,17.609375,0,40,25,11,22,1
0.109664077,38.5555262,73.21875,40,0,41,59,30,1
0.196364093,30.19992249,51.1875,0,35,31,9,18,1
0.263543207,17.21776972,46.40625,34,0,14,52,26,1
0.130282907,19.06349719,216.1523438,0,27,33,35,31,1
0.138787813,24.60205644,15.28515625,110,7,33,46,22,1
0.289223595,18.4740766,8.3828125,43,4,49,40,13,1
0.06793442,31.39693558,31.5,153,0,33,49,18,1
0.072311164,23.79127848,141.6367188,0,9,38,45,27,1
0.154817122,15.42969291,151.953125,61,0,28,49,22,1
0.283137616,11.97615922,25.78125,0,0,39,53,27,1
0.180169082,21.98419019,21.6640625,60,13,55,55,32,1
0.229569058,15.22206848,71.7109375,0,0,55,72,36,1
0.142964529,15.783086,38.85546875,63,2,37,68,32,1
0.233491852,19.27070978,15.38671875,0,0,55,76,38,1
0.277785557,13.19663924,80.4296875,0,29,31,22,19,1
0.220546485,20.86874148,805.265625,95,14,44,35,17,1
0.150920662,24.70456249,3.625,172,8,43,57,33,1
0.102158492,22.81900009,23.5625,42,0,28,59,27,1
0.307106505,11.97151641,36.3671875,0,4,12,43,20,1
0.159600598,11.48509361,177.4414063,91,3,36,52,28,1
0.18320584,14.6022875,113.6601563,32,0,32,55,28,1
0.115388177,28.5904137,26.0625,98,12,34,46,29,1
0.181757726,13.59579071,29.57421875,52,6,27,48,25,1
0.128825769,16.33861534,80.70703125,0,0,35,57,28,1
0.209288107,16.0057459,65.34375,0,0,41,64,32,1
0.314480849,19.44572179,57.8125,103,51,56,4,28,1
0.210038862,28.86343024,27.734375,0,49,71,5,27,1
0.308333825,22.26322327,18.90625,0,5,30,43,21,1
0.261137878,30.55055489,40.203125,38,0,106,48,21,1
0.193123518,25.20367608,5.859375,86,3,42,52,20,1
0.232612004,25.12438744,468.8085938,0,0,54,71,36,1
0.376999629,12.11324205,55.0546875,0,58,95,17,38,1
0.234668514,27.19628642,26.9140625,0,34,15,6,3,1
0.381412725,23.0991561,41.859375,32,0,44,59,22,1
0.167756796,32.51771779,207.2929688,138,47,67,3,25,1
0.345279491,20.56586521,96.8359375,108,41,38,2,18,1
0.333618633,30.97758827,41.80078125,0,41,81,2,18,1
0.012232608,65.16077278,38.671875,128,14,37,7,4,1
0.068556388,62.39912849,70.921875,202,2,70,44,21,1
0.411829609,26.24043491,18.5625,169,0,29,37,12,1
0.017582753,34.00084071,32.171875,0,4,45,31,17,1
0.244629839,45.98819143,7.046875,54,0,37,36,18,1
0.000461512,85.77358166,35.0390625,0,3,32,48,26,1
0.002904701,65.64255587,32.6953125,54,0,9,43,18,1
0.212073712,42.53028123,9.703125,40,29,7,6,4,1
0.357023454,42.41467114,23.84765625,53,3,13,58,30,1
0.098698586,27.56270378,89.4140625,98,0,26,63,32,1
0.331371144,25.90829387,29.7734375,53,24,8,11,11,1
0.005422803,77.09039978,43.60546875,0,2,29,47,25,1
0.009526147,52.77955656,20.1015625,85,0,97,46,22,1
0.011628347,35.59891733,22.6875,0,0,41,70,35,1
0.021573037,40.28239905,39.53125,0,2,35,66,34,1
0.003005098,92.66465031,135.9375,51,0,33,51,17,1
0.434637841,24.5391688,430.625,0,15,31,55,35,1
0.004106553,100.2322301,101.03125,47,0,26,53,18,1
0.245285168,19.77161818,36.5625,45,3,35,61,32,1
0.002889583,85.38149682,26.28125,0,0,43,57,25,1
0.004274882,43.14322305,1.96875,0,0,88,66,33,1
0.005947268,49.52756353,62.078125,0,8,93,58,33,1
0.308572335,58.4374631,51.796875,98,0,39,63,30,1
0.253843891,33.00919503,178.5898438,4,53,101,9,31,1
0.456032736,42.09337199,44.55859375,0,20,26,9,2,1
0.049252811,45.20374963,24.99609375,46,0,37,52,21,1
0.321659666,44.10096784,2.3359375,0,42,32,8,18,1
0.404770466,34.06762285,197.3359375,36,8,61,56,32,1
0.006791382,74.43709304,18.375,101,0,55,63,31,1
0.017086496,51.80404138,37.515625,12,13,63,53,23,1
0.265556965,49.53906321,59.4609375,0,0,143,86,43,1
0.222152132,51.58353877,5.95703125,13,96,76,5,51,1
0.183507794,44.770002,23.671875,0,88,31,6,44,1
0.003553973,61.70105547,40.4453125,0,17,24,51,18,1
0.261534196,55.04965369,37.6875,72,0,74,93,43,1
0.003152189,83.6349341,17.0625,145,37,31,8,21,1
0.283120464,39.12667927,35.21875,144,21,30,8,5,1
0.464430581,44.29727813,326.25,97,5,28,42,23,1
0.275612035,32.38944296,7.0546875,0,3,28,45,24,1
0.003532553,47.9260644,31.5,53,0,27,42,18,1
0.187181936,66.54010464,23.71875,19,82,8,58,70,1
0.009534309,62.44681062,250.3125,0,0,58,79,9,1
0.373572244,50.51284857,25.13671875,0,0,61,71,36,1
0.000603777,51.68526235,8.8359375,0,0,48,103,52,1
0.006091997,101.3122733,65.6640625,0,18,48,60,39,1
0.005866519,38.76991822,26.640625,72,0,31,60,21,1
0.001194677,89.28896311,4.21875,0,0,47,71,36,1
0.002309147,50.76904415,38.90625,0,6,47,56,21,1
0.004624098,96.95573786,69.328125,71,2,35,54,15,1
0.006016196,55.92636298,109.6992188,111,0,71,82,41,1
0.285089463,80.71868019,112.40625,136,86,29,9,48,1
0.150039007,35.22823796,22,58,82,16,13,48,1
0.435779696,45.26730658,80.70703125,182,80,20,11,44,1
0.434397725,71.01211439,89.046875,114,54,10,5,12,1
0.000299354,45.0222061,33.25,55,25,38,48,26,1
0.313816707,60.36172246,172.5,0,11,33,84,48,1
0.004026869,85.62212938,359.8125,128,6,31,51,10,1
0.003524225,80.54241452,3509.609375,174,0,26,57,10,1
0.401793605,45.46161409,18.3515625,157,31,23,7,13,1
0.260442175,40.41796219,19.828125,151,16,31,5,4,1
0.000856456,56.4835396,66.875,49,8,41,43,26,1
0.143013532,47.89020573,460.0625,98,7,50,35,17,1
0.048854794,53.52406549,10.9375,0,0,39,50,25,1
0.001642608,70.64122615,25.97265625,70,4,35,52,21,1
0.12269933,56.13312867,7.65625,0,0,52,70,35,1
0.364046158,41.25823803,47.953125,0,20,24,35,28,1
0.389582308,46.49752125,16.859375,35,0,48,46,19,1
0.366253436,53.09530632,82.296875,0,0,50,50,25,1
0.072610105,71.3242268,151.1875,88,33,51,12,4,1
0.000189141,47.1009554,19.95703125,0,0,57,82,41,1
0.296046497,66.02920468,29.203125,53,29,86,18,1,1
0.412435122,60.9491708,51.2578125,133,7,72,54,15,1
0.16569662,53.4157993,293.6523438,0,0,49,93,47,1
0.038829645,31.76325571,8.26171875,48,65,9,8,28,1
0.360494442,47.51576077,3204.855469,82,42,43,10,7,1
0.321798007,46.07122771,18.83984375,0,37,51,53,45,1
0.165638507,42.58776382,25.87890625,151,0,55,64,19,1
0.100660833,28.93060418,12.96875,0,21,5,7,3,1
0.003542428,29.71915208,169.6875,14,0,47,51,26,1
0.013173121,43.73153221,74.4140625,173,28,32,12,5,1
0.271226822,47.19177261,5.58984375,260,22,38,16,3,1
0.005291406,57.16690379,23.625,67,22,82,45,32,1
0.169121135,64.44348323,41.63671875,0,14,59,57,36,1
0.269118522,50.8785897,46.7578125,184,12,7,7,16,1
0.08203646,44.8426811,137.046875,208,0,48,68,33,1
0.157734337,38.97385688,42.3828125,50,45,47,19,10,1
0.241470589,63.11730573,125.5625,160,31,37,13,10,1
0.087196814,57.72569146,11.984375,266,24,40,13,17,1
0.17404655,70.77942133,330.75,108,19,32,52,17,1
0.242185999,56.34782294,23.625,0,16,56,92,54,1
0.342417002,51.66686757,253.8046875,202,6,52,97,49,1
0.002452315,121.7456559,37,328,0,18,54,0,1
0.100843768,52.67874029,4.125,64,65,32,17,41,1
0.003694005,66.73887594,23.0625,328,57,18,18,34,1
0.000494037,117.1497108,19.765625,156,39,43,14,12,1
0.040236558,89.41582593,46.5546875,104,28,35,54,41,1
0.00340861,77.82903088,27.4140625,275,25,42,14,2,1
0.256256288,46.0475575,31.171875,0,16,58,67,42,1
0.111845136,63.41445456,25.59375,318,7,69,44,10,1
0.238517972,52.70850483,64.5703125,195,0,59,65,24,1
0.122164298,57.95824023,14.625,24,0,10,7,34,1
0.272009927,56.63643249,8.44921875,170,108,46,7,58,1
0.123107527,40.01721985,73.71875,64,38,23,10,9,1
0.224317013,54.31470899,36.921875,146,20,38,13,24,1
0.076220775,63.69577776,21.515625,179,9,49,48,0,1
0.102492703,62.66179955,6.97265625,88,1,50,73,17,1
0.016769813,60.52256624,129.2460938,0,0,65,115,58,1
0.003485285,25.24113924,27.45703125,60,36,35,9,12,1
0.006223051,42.45452721,46.90625,0,9,38,57,33,1
0.239056918,40.7876337,3.609375,116,0,40,58,25,1
0.360907885,37.71669007,33.76953125,37,42,65,22,14,1
0.002747845,44.98325976,54,0,10,14,91,51,1
0.316795237,26.77787512,66.19921875,119,0,52,85,35,1
0.369560382,26.91393512,99.31640625,0,0,49,45,23,1
0.489080959,25.93897327,67.734375,0,57,35,28,36,1
