x,y,w,h,Distance Bottom,Distance Top,area,Target Class
130,62,13,38,43.0,19.0,157.0,LD
343,46,42,51,40.0,6.0,314.0,LD
325,44,20,56,43.0,1.0,265.0,LD
235,44,34,52,39.0,5.0,405.0,LD
10,44,40,56,43.0,1.0,380.0,LD
124,42,8,12,3.0,45.0,45.5,LD
280,39,31,61,43.0,4.0,684.5,LD
58,24,59,76,43.0,19.0,637.5,LD
151,7,21,93,43.0,36.0,441.5,LD
185,0,44,96,39.0,39.0,804.0,LD
308,90,15,4,29.0,61.0,33.0,LD
237,90,48,31,56.0,34.0,217.0,LD
301,40,25,46,21.0,19.0,431.5,LD
65,40,63,46,21.0,19.0,1197.0,LD
348,34,38,52,21.0,13.0,367.0,LD
231,28,55,58,21.0,7.0,397.5,LD
134,0,69,85,20.0,20.0,845.5,LD
30,0,10,82,17.0,17.0,295.0,LD
447,86,5,9,34.0,52.0,22.5,LD
206,31,55,74,44.0,13.0,836.5,LD
430,30,21,53,22.0,8.0,165.5,LD
135,18,65,86,43.0,25.0,1033.5,LD
405,9,16,84,32.0,23.0,594.0,LD
275,3,55,83,25.0,22.0,710.5,LD
344,0,42,81,20.0,20.0,571.5,LD
150,0,6,4,57.0,57.0,11.5,LD
57,0,58,104,43.0,43.0,758.5,LD
444,139,23,5,66.0,73.0,42.5,LD
320,137,77,10,69.0,68.0,211.0,LD
141,130,19,5,57.0,73.0,35.5,LD
342,116,12,8,46.0,70.0,23.5,LD
352,105,9,10,37.0,68.0,20.5,LD
418,77,42,58,57.0,20.0,835.5,LD
316,74,62,30,26.0,48.0,228.0,LD
262,69,16,63,54.0,15.0,308.0,LD
134,45,57,77,44.0,1.0,598.5,LD
60,42,47,84,48.0,6.0,990.5,LD
260,37,7,16,25.0,62.0,69.0,LD
520,4,61,3,71.0,75.0,81.5,LD
0,3,46,113,38.0,35.0,452.5,LD
408,2,84,5,71.0,73.0,130.5,LD
358,2,29,4,72.0,74.0,39.0,LD
313,2,19,3,73.0,75.0,25.0,LD
230,0,75,5,73.0,73.0,111.0,LD
175,0,57,123,45.0,45.0,584.0,LD
118,0,53,3,75.0,75.0,44.5,LD
427,123,38,9,31.0,92.0,119.5,LD
374,123,9,10,32.0,91.0,38.0,LD
166,121,15,71,91.0,30.0,419.5,LD
0,97,26,13,9.0,88.0,76.5,LD
346,57,34,62,18.0,39.0,358.5,LD
418,47,31,73,19.0,28.0,315.0,LD
316,43,29,76,18.0,25.0,619.5,LD
459,35,5,82,16.0,19.0,82.0,LD
224,35,72,83,17.0,18.0,1101.5,LD
159,24,58,94,17.0,7.0,3669.5,LD
0,10,33,49,42.0,52.0,344.0,LD
89,8,6,7,86.0,94.0,19.5,LD
452,0,6,40,61.0,61.0,62.5,LD
56,0,73,116,15.0,15.0,1222.5,LD
354,127,40,27,72.0,55.0,144.0,LD
178,124,24,3,45.0,79.0,14.0,LD
349,123,17,4,45.0,78.0,26.0,LD
587,118,12,4,40.0,78.0,19.0,LD
583,52,30,65,35.0,17.0,287.5,LD
160,44,52,77,39.0,5.0,810.5,LD
350,36,57,88,42.0,6.0,753.5,LD
0,35,38,85,38.0,3.0,462.0,LD
245,26,50,76,20.0,6.0,800.0,LD
431,10,70,107,35.0,25.0,997.5,LD
70,7,73,113,38.0,31.0,1096.5,LD
522,4,40,119,41.0,37.0,571.5,LD
378,121,44,52,82.0,39.0,320.5,LD
231,119,26,8,36.0,83.0,73.5,LD
463,118,78,4,31.0,87.0,157.5,LD
415,99,7,19,27.0,72.0,66.0,LD
274,98,70,23,30.0,68.0,284.5,LD
322,63,52,55,27.0,36.0,405.5,LD
287,63,32,33,5.0,58.0,129.0,LD
409,54,11,26,11.0,65.0,155.0,LD
374,54,35,51,14.0,40.0,378.5,LD
185,48,37,65,22.0,26.0,433.5,LD
238,46,42,70,25.0,21.0,449.0,LD
115,44,40,69,22.0,22.0,1046.5,LD
434,37,35,81,27.0,10.0,987.0,LD
0,0,89,114,23.0,23.0,1847.5,LD
330,110,41,44,72.0,38.0,249.0,LD
263,110,16,5,33.0,77.0,41.0,LD
126,110,14,3,31.0,79.0,16.0,LD
399,87,14,18,23.0,64.0,87.0,LD
273,87,9,19,24.0,63.0,51.0,LD
274,55,32,44,17.0,38.0,224.5,LD
317,46,54,60,24.0,22.0,2466.0,LD
248,45,25,61,24.0,21.0,264.0,LD
395,43,29,43,4.0,39.0,656.5,LD
85,35,18,65,18.0,17.0,264.5,LD
121,34,38,71,23.0,11.0,371.0,LD
54,32,27,65,15.0,17.0,258.0,LD
173,0,42,106,24.0,24.0,469.0,LD
0,0,34,101,19.0,19.0,374.5,LD
473,108,33,51,75.0,33.0,269.0,LD
369,108,10,10,34.0,74.0,55.5,LD
325,107,11,9,32.0,75.0,47.5,LD
299,107,16,3,26.0,81.0,19.0,LD
245,107,11,16,39.0,68.0,88.0,LD
108,107,19,6,29.0,78.0,43.5,LD
61,107,8,7,30.0,77.0,25.5,LD
34,107,26,4,27.0,80.0,59.5,LD
191,86,22,18,20.0,66.0,52.0,LD
396,71,16,32,19.0,52.0,217.0,LD
411,67,9,16,1.0,68.0,19.5,LD
359,66,15,37,19.0,47.0,203.0,LD
420,60,24,36,12.0,48.0,138.0,LD
158,48,34,56,20.0,28.0,355.5,LD
463,47,42,57,20.0,27.0,507.5,LD
86,43,26,60,19.0,24.0,218.5,LD
352,34,11,17,33.0,67.0,88.0,LD
